split,system,f1,auroc,stability,q5_gain,composite
within,baseline,0.7134,0.7912,0.8623,0.0,0.465608465608465
within,DatePrefix,0.7244,0.8007,0.8392,2.66,1.9060878073683298
within,MLMPretrain,0.7177,0.8041,0.8095,0.36,0.70175684894189
within,RecencyWeight,0.7343,0.8041,0.859,1.63,2.096867814762237
within,TimeLMs,0.7265,0.7982,0.8601,1.92,1.7874487964777717
within,TEA,0.7355,0.8121,0.8954,1.63,2.726610680518605
within,PretrainedTEA,0.7352,0.815,0.9229,1.41,2.97702773909162
within,T5,0.7479,0.8204,0.8568,1.41,2.947182771744175
short,baseline,0.6705,0.7297,0.8601,0.0,0.41770389315146483
short,DatePrefix,0.675,0.7313,0.8392,2.71,1.0152752850298628
short,MLMPretrain,0.6937,0.7342,0.826,6.04,2.529411764705879
short,RecencyWeight,0.6794,0.7373,0.87,3.32,2.1917436701075483
short,TimeLMs,0.6828,0.7346,0.8744,2.21,1.9323267547501433
short,TEA,0.6872,0.7377,0.9053,3.86,2.9976330283760912
short,PretrainedTEA,0.6937,0.739,0.9295,4.95,3.8195364238410594
short,T5,0.6806,0.7288,0.8634,2.74,1.2503398686969978
long,baseline,0.6883,0.7413,0.8513,0.0,1.011008777377548
long,DatePrefix,0.6912,0.7422,0.8139,0.5,0.967614392397647
long,MLMPretrain,0.6993,0.7486,0.8095,0.0,1.42357948845342
long,RecencyWeight,0.7113,0.7541,0.8491,2.17,2.9795566289380733
long,TimeLMs,0.6949,0.7377,0.8403,-1.98,0.4874358974358961
long,TEA,0.7126,0.7568,0.8954,0.32,3.1042366329277917
long,PretrainedTEA,0.7169,0.7571,0.9295,1.82,3.9156626506024095
long,T5,0.6918,0.7494,0.8579,-0.86,1.3986832572883952
