split,n,comparison_type,system_a,system_b,diff_pp,ci_lo_pp,ci_hi_pp,significant
within,182,vs_baseline,DatePrefix,baseline,2.66,-0.86,6.52,False
within,182,vs_baseline,MLMPretrain,baseline,0.36,-3.7,4.63,False
within,182,vs_baseline,RecencyWeight,baseline,1.63,-2.15,5.74,False
within,182,vs_baseline,TimeLMs,baseline,1.92,-2.18,6.32,False
within,182,vs_baseline,TEA,baseline,1.63,-1.93,5.55,False
within,182,vs_baseline,PretrainedTEA,baseline,1.41,-2.95,6.12,False
within,182,vs_baseline,T5,baseline,1.41,-2.61,5.54,False
within,182,winner_vs_strategy,DatePrefix,MLMPretrain,2.3,-2.16,6.91,False
within,182,winner_vs_strategy,DatePrefix,RecencyWeight,1.03,-2.64,4.8,False
within,182,winner_vs_strategy,DatePrefix,TimeLMs,0.74,-3.5,5.01,False
within,182,winner_vs_strategy,DatePrefix,TEA,1.03,-2.07,4.27,False
within,182,winner_vs_strategy,DatePrefix,PretrainedTEA,1.25,-2.64,5.14,False
within,182,winner_vs_strategy,DatePrefix,T5,1.25,-2.91,5.6,False
short,182,vs_baseline,DatePrefix,baseline,2.71,-0.46,6.05,False
short,182,vs_baseline,MLMPretrain,baseline,6.04,2.75,9.83,True
short,182,vs_baseline,RecencyWeight,baseline,3.32,0.07,6.7,True
short,182,vs_baseline,TimeLMs,baseline,2.21,-1.62,6.06,False
short,182,vs_baseline,TEA,baseline,3.86,1.03,7.17,True
short,182,vs_baseline,PretrainedTEA,baseline,4.95,0.62,9.37,True
short,182,vs_baseline,T5,baseline,2.74,-1.04,6.73,False
short,182,winner_vs_strategy,MLMPretrain,DatePrefix,3.33,-0.53,7.26,False
short,182,winner_vs_strategy,MLMPretrain,RecencyWeight,2.72,-1.26,7.02,False
short,182,winner_vs_strategy,MLMPretrain,TimeLMs,3.83,0.01,7.73,True
short,182,winner_vs_strategy,MLMPretrain,TEA,2.18,-1.6,6.01,False
short,182,winner_vs_strategy,MLMPretrain,PretrainedTEA,1.08,-1.63,3.83,False
short,182,winner_vs_strategy,MLMPretrain,T5,3.3,-0.71,7.56,False
long,182,vs_baseline,DatePrefix,baseline,0.5,-3.54,4.68,False
long,182,vs_baseline,MLMPretrain,baseline,0.0,-4.54,4.56,False
long,182,vs_baseline,RecencyWeight,baseline,2.17,-1.89,6.45,False
long,182,vs_baseline,TimeLMs,baseline,-1.98,-8.37,4.34,False
long,182,vs_baseline,TEA,baseline,0.32,-4.4,5.27,False
long,182,vs_baseline,PretrainedTEA,baseline,1.82,-3.42,7.14,False
long,182,vs_baseline,T5,baseline,-0.86,-5.67,4.14,False
long,182,winner_vs_strategy,RecencyWeight,DatePrefix,1.67,-2.88,6.12,False
long,182,winner_vs_strategy,RecencyWeight,MLMPretrain,2.17,-2.25,6.77,False
long,182,winner_vs_strategy,RecencyWeight,TimeLMs,4.15,-2.29,10.72,False
long,182,winner_vs_strategy,RecencyWeight,TEA,1.85,-1.69,5.59,False
long,182,winner_vs_strategy,RecencyWeight,PretrainedTEA,0.35,-4.28,5.14,False
long,182,winner_vs_strategy,RecencyWeight,T5,3.03,-1.62,7.69,False
