system,split,f1,auroc,ece,brier,seed_disagree
baseline,within,0.7134,0.7912,0.1069,0.2009,0.1377
S1,within,0.7244,0.8007,0.0735,0.1897,0.1608
S2,within,0.7177,0.8041,0.0781,0.1876,0.1905
S3,within,0.7343,0.8041,0.0793,0.1863,0.141
S6,within,0.7265,0.7982,0.0948,0.192,0.1399
S7,within,0.7355,0.8121,0.0984,0.1854,0.1046
S8,within,0.7294,0.8096,0.1158,0.1913,0.0551
S10,within,0.7315,0.8128,0.1101,0.188,0.065
baseline,short,0.6705,0.7297,0.1344,0.2326,0.1399
S1,short,0.675,0.7313,0.1142,0.2245,0.1608
S2,short,0.6937,0.7342,0.1241,0.2226,0.174
S3,short,0.6794,0.7373,0.1449,0.2267,0.13
S6,short,0.6828,0.7346,0.1374,0.2288,0.1256
S7,short,0.6872,0.7377,0.1516,0.2285,0.0947
S8,short,0.6795,0.7431,0.1575,0.2308,0.0628
S10,short,0.6828,0.7428,0.1504,0.2286,0.0595
baseline,long,0.6883,0.7413,0.1101,0.2235,0.1487
S1,long,0.6912,0.7422,0.0915,0.2167,0.1861
S2,long,0.6993,0.7486,0.09,0.2134,0.1905
S3,long,0.7113,0.7541,0.1024,0.2118,0.1509
S6,long,0.6949,0.7377,0.1139,0.2225,0.1597
S7,long,0.7126,0.7568,0.1161,0.2145,0.1046
S8,long,0.7174,0.7551,0.1256,0.2157,0.0782
S10,long,0.716,0.7539,0.1237,0.2153,0.0716
