system,split,f1_polarity_mismatch,f1_rest
baseline,within,0.391,0.7483
DatePrefix,within,0.4134,0.7589
MLMPretrain,within,0.4265,0.7483
RecencyWeight,within,0.4526,0.7667
TimeLMs,within,0.4044,0.7601
TEA,within,0.4274,0.77
PretrainedTEA,within,0.4128,0.7699
baseline,short,0.3847,0.7249
DatePrefix,short,0.3576,0.7354
MLMPretrain,short,0.4113,0.746
RecencyWeight,short,0.3784,0.7375
TimeLMs,short,0.406,0.734
TEA,short,0.3818,0.746
PretrainedTEA,short,0.409,0.7473
baseline,long,0.3804,0.7333
DatePrefix,long,0.3547,0.7414
MLMPretrain,long,0.3405,0.7515
RecencyWeight,long,0.4198,0.7558
TimeLMs,long,0.3735,0.7412
TEA,long,0.3671,0.7661
PretrainedTEA,long,0.4039,0.7648
