system,split,f1_pragmatic,f1_rest
baseline,within,0.391,0.7483
S1,within,0.4134,0.7589
S2,within,0.4265,0.7483
S3,within,0.4526,0.7667
S6,within,0.4044,0.7601
S7,within,0.4274,0.77
S8,within,0.4548,0.7604
S10,within,0.4128,0.7677
baseline,short,0.3847,0.7249
S1,short,0.3576,0.7354
S2,short,0.4113,0.746
S3,short,0.3784,0.7375
S6,short,0.406,0.734
S7,short,0.3818,0.746
S8,short,0.3897,0.7353
S10,short,0.4036,0.7353
baseline,long,0.3804,0.7333
S1,long,0.3547,0.7414
S2,long,0.3405,0.7515
S3,long,0.4198,0.7558
S6,long,0.3735,0.7412
S7,long,0.3671,0.7661
S8,long,0.4041,0.7662
S10,long,0.388,0.7662
