split,q,n,DatePrefix,MLMPretrain,RecencyWeight,TimeLMs,TEA,PretrainedTEA,T5
within,1,182,1.52,-1.17,0.18,-0.18,1.0,-0.78,2.51
within,2,181,2.22,1.67,3.81,3.33,2.75,2.75,7.75
within,3,182,1.12,0.92,2.61,2.91,4.54,4.38,4.15
within,4,181,-2.07,0.0,2.1,-1.56,1.5,3.08,1.42
within,5,182,2.66,0.36,1.63,1.92,1.63,1.41,1.41
short,1,182,3.04,3.37,3.78,4.29,4.68,5.1,3.27
short,2,181,-1.2,1.6,-2.66,0.0,0.0,1.56,-3.33
short,3,182,-1.63,1.11,-1.08,0.56,-0.56,0.56,0.01
short,4,181,-1.01,-0.5,0.85,-1.01,0.0,-0.27,2.38
short,5,182,2.71,6.04,3.32,2.21,3.86,4.95,2.74
long,1,182,-0.25,1.89,4.46,-0.35,3.62,4.14,1.63
long,2,181,1.13,3.34,2.79,4.43,4.45,5.57,2.8
long,3,182,-0.59,0.27,1.35,2.27,1.17,2.27,-0.94
long,4,181,0.98,-0.74,0.72,-2.38,2.81,0.46,-0.47
long,5,182,0.5,0.0,2.17,-1.98,0.32,1.82,-0.86
