split,idx,lex_pos,lex_neg,polarity_mismatch,polarity_mismatch_dir,irony_prob
within,0,2,0,0,,0.9260319
within,1,1,1,0,,0.6049218
within,2,2,0,0,,0.07142088
within,3,1,0,0,,0.40352398
within,4,1,0,0,,0.06636581
within,5,1,0,0,,0.0573676
within,6,0,0,0,,0.39790168
within,7,1,0,0,,0.6588786
within,8,1,1,0,,0.23259352
within,9,1,2,0,,0.3801827
within,10,3,1,0,,0.8404319
within,11,0,0,0,,0.45304707
within,12,2,0,0,,0.59754753
within,13,2,0,0,,0.3642566
within,14,0,0,0,,0.1257803
within,15,0,0,0,,0.07803277
within,16,0,1,1,A_joking_complaint,0.19190177
within,17,0,0,0,,0.7322211
within,18,0,0,0,,0.8258196
within,19,1,0,0,,0.06822179
within,20,3,3,0,,0.12769699
within,21,0,0,0,,0.055821303
within,22,0,0,0,,0.7586099
within,23,1,1,0,,0.07558959
within,24,1,0,0,,0.27467728
within,25,1,0,0,,0.058098305
within,26,2,0,0,,0.14330232
within,27,1,0,0,,0.573307
within,28,0,0,0,,0.11310417
within,29,1,1,0,,0.04800037
within,30,3,1,0,,0.18754531
within,31,1,1,0,,0.31489715
within,32,0,0,0,,0.14609592
within,33,1,0,0,,0.086815506
within,34,1,0,0,,0.95064807
within,35,1,0,0,,0.46237502
within,36,0,0,0,,0.030301195
within,37,0,1,1,A_joking_complaint,0.054123618
within,38,2,0,0,,0.07179932
within,39,0,0,0,,0.058063958
within,40,0,0,0,,0.08015181
within,41,1,0,0,,0.7740303
within,42,1,1,0,,0.17915177
within,43,1,0,0,,0.09201393
within,44,0,0,0,,0.41921574
within,45,0,0,0,,0.06565241
within,46,2,2,0,,0.7117905
within,47,0,1,1,A_joking_complaint,0.43699753
within,48,1,1,0,,0.67012256
within,49,0,0,0,,0.097836256
within,50,1,0,0,,0.4892829
within,51,0,0,0,,0.44599828
within,52,1,0,0,,0.33052784
within,53,1,0,0,,0.14012061
within,54,2,1,0,,0.78621227
within,55,0,2,1,A_joking_complaint,0.76934457
within,56,1,0,0,,0.18639079
within,57,1,0,0,,0.032491144
within,58,4,0,0,,0.12339921
within,59,0,0,0,,0.07240416
within,60,0,0,0,,0.28214565
within,61,1,0,0,,0.7167507
within,62,1,0,0,,0.094019055
within,63,0,0,0,,0.34733546
within,64,0,0,0,,0.5187326
within,65,2,0,0,,0.16891935
within,66,2,0,0,,0.42660657
within,67,0,1,1,A_joking_complaint,0.11913799
within,68,2,0,0,,0.19375704
within,69,0,0,0,,0.12813303
within,70,0,0,0,,0.041841634
within,71,2,2,0,,0.07282788
within,72,2,0,0,,0.473515
within,73,1,0,0,,0.09320678
within,74,2,1,0,,0.50416404
within,75,1,2,0,,0.57856315
within,76,0,0,0,,0.8254087
within,77,1,0,0,,0.84626853
within,78,1,0,0,,0.3233225
within,79,0,0,0,,0.32809773
within,80,1,0,0,,0.09626815
within,81,0,0,0,,0.35397813
within,82,1,0,0,,0.18370138
within,83,0,0,0,,0.8844242
within,84,1,0,0,,0.35372496
within,85,0,2,1,A_joking_complaint,0.6737692
within,86,1,0,0,,0.8167709
within,87,1,0,0,,0.2682226
within,88,0,0,0,,0.061749835
within,89,2,0,0,,0.043104682
within,90,0,0,0,,0.035319593
within,91,2,0,0,,0.07816038
within,92,1,0,0,,0.11045101
within,93,2,0,0,,0.042679675
within,94,0,0,0,,0.8052755
within,95,0,0,0,,0.15816185
within,96,0,2,1,A_joking_complaint,0.37424624
within,97,0,0,0,,0.48521388
