split,idx,lex_pos,lex_neg,pragmatic,pragmatic_dir,irony_prob
within,0,2,0,0,,0.9260323
within,1,1,1,0,,0.6049205
within,2,2,0,0,,0.071420915
within,3,1,0,0,,0.4035241
within,4,1,0,0,,0.06636569
within,5,1,0,0,,0.057367593
within,6,0,0,0,,0.39790133
within,7,1,0,0,,0.6588774
within,8,1,1,0,,0.23259333
within,9,1,2,0,,0.38018206
within,10,3,1,0,,0.84043103
within,11,0,0,0,,0.4530472
within,12,2,0,0,,0.5975474
within,13,2,0,0,,0.36425588
within,14,0,0,0,,0.12578045
within,15,0,0,0,,0.078032725
within,16,0,1,1,A_joking_complaint,0.1919013
within,17,0,0,0,,0.7322223
within,18,0,0,0,,0.8258194
within,19,1,0,0,,0.068221934
within,20,3,3,0,,0.12769653
within,21,0,0,0,,0.055821422
within,22,0,0,0,,0.7586098
within,23,1,1,0,,0.07558971
within,24,1,0,0,,0.27467793
within,25,1,0,0,,0.05809829
within,26,2,0,0,,0.1433024
within,27,1,0,0,,0.57330644
within,28,0,0,0,,0.1131035
within,29,1,1,0,,0.048000224
within,30,3,1,0,,0.18754525
within,31,1,1,0,,0.31489664
within,32,0,0,0,,0.14609559
within,33,1,0,0,,0.08681536
within,34,1,0,0,,0.95064807
within,35,1,0,0,,0.46237436
within,36,0,0,0,,0.030301228
within,37,0,1,1,A_joking_complaint,0.054123707
within,38,2,0,0,,0.071799226
within,39,0,0,0,,0.05806401
within,40,0,0,0,,0.08015172
within,41,1,0,0,,0.7740304
within,42,1,1,0,,0.17915137
within,43,1,0,0,,0.092014045
within,44,0,0,0,,0.4192154
within,45,0,0,0,,0.06565223
within,46,2,2,0,,0.71179026
within,47,0,1,1,A_joking_complaint,0.43699732
within,48,1,1,0,,0.67012244
within,49,0,0,0,,0.09783591
within,50,1,0,0,,0.48928243
within,51,0,0,0,,0.44599712
within,52,1,0,0,,0.33052865
within,53,1,0,0,,0.14012042
within,54,2,1,0,,0.7862112
within,55,0,2,1,A_joking_complaint,0.76934433
within,56,1,0,0,,0.18639074
within,57,1,0,0,,0.03249116
within,58,4,0,0,,0.123398826
within,59,0,0,0,,0.07240433
within,60,0,0,0,,0.2821452
within,61,1,0,0,,0.7167503
within,62,1,0,0,,0.09401874
within,63,0,0,0,,0.34733555
within,64,0,0,0,,0.5187316
within,65,2,0,0,,0.16891962
within,66,2,0,0,,0.42660615
within,67,0,1,1,A_joking_complaint,0.11913802
within,68,2,0,0,,0.19375765
within,69,0,0,0,,0.12813261
within,70,0,0,0,,0.04184165
within,71,2,2,0,,0.0728278
within,72,2,0,0,,0.47351453
within,73,1,0,0,,0.09320648
within,74,2,1,0,,0.5041647
within,75,1,2,0,,0.5785626
within,76,0,0,0,,0.8254084
within,77,1,0,0,,0.8462683
within,78,1,0,0,,0.32332227
within,79,0,0,0,,0.32809716
within,80,1,0,0,,0.09626801
within,81,0,0,0,,0.3539772
within,82,1,0,0,,0.18370093
within,83,0,0,0,,0.8844244
within,84,1,0,0,,0.3537246
within,85,0,2,1,A_joking_complaint,0.6737685
within,86,1,0,0,,0.8167707
within,87,1,0,0,,0.26822266
within,88,0,0,0,,0.061749883
within,89,2,0,0,,0.043104794
within,90,0,0,0,,0.035319574
within,91,2,0,0,,0.07816037
within,92,1,0,0,,0.11045067
within,93,2,0,0,,0.042679638
within,94,0,0,0,,0.805275
within,95,0,0,0,,0.15816174
within,96,0,2,1,A_joking_complaint,0.3742462
within,97,0,0,0,,0.48521364
within,98,0,0,0,,0.10311369
within,99,1,0,0,,0.1981104
within,100,0,1,1,A_joking_complaint,0.89370257
within,101,2,0,0,,0.12085698
within,102,0,0,0,,0.56523436
within,103,0,1,1,A_joking_complaint,0.034519292
within,104,3,0,0,,0.1048932
within,105,2,1,0,,0.2826159
within,106,0,0,0,,0.05506894
within,107,1,1,0,,0.14907905
within,108,1,2,0,,0.05712156
within,109,2,0,0,,0.66067916
within,110,0,1,1,A_joking_complaint,0.44790775
within,111,3,1,0,,0.044465404
within,112,1,1,0,,0.034507137
within,113,3,0,0,,0.8224599
within,114,1,0,0,,0.600977
within,115,0,0,0,,0.381314
within,116,3,0,0,,0.07682965
within,117,2,0,0,,0.761372
within,118,1,1,0,,0.1418098
within,119,0,0,0,,0.052580133
within,120,0,0,0,,0.631347
within,121,0,0,0,,0.0483151
within,122,1,0,0,,0.093433514
within,123,1,0,0,,0.87633497
within,124,2,0,0,,0.28275844
within,125,1,0,0,,0.1336272
within,126,1,1,0,,0.23293264
within,127,1,0,0,,0.13938959
within,128,3,0,0,,0.32118762
within,129,0,0,0,,0.033531427
within,130,2,0,0,,0.06539879
within,131,0,0,0,,0.15024664
within,132,1,0,0,,0.9554921
within,133,0,0,0,,0.10863369
within,134,1,0,0,,0.9714751
within,135,3,0,0,,0.049883336
within,136,0,0,0,,0.4089167
within,137,1,0,0,,0.030562147
within,138,0,0,0,,0.06372937
within,139,2,1,0,,0.33434972
within,140,4,0,0,,0.04852635
